pdv_id,regiao,uf,municipio,tipo_estabelecimento,tier_historico,volume_q4_2024_hl,volume_q4_2025_hl,delta_volume_yoy_pct,share_ardor_pct,gasto_posm_trim_brl,visitas_promotor_mes,posm_instalado_cod,nps_dono_q4_2024,nps_dono_q4_2025,meses_no_programa,concorrentes_premium_no_pdv,evento_ativacional_2025
PDV-02494,Sul,PR,Londrina,choperia,B,52.4,54.4,3.8,22.1,1289.0,5,BAL|CHP|KVI|LUM,47,42,47,1,0
PDV-02372,Sul,RS,Pelotas,pub,B,30.6,30.3,-1.0,31.0,1072.0,4,BAL|KVI|LUM,70,66,47,0,0
PDV-01812,Sudeste,RJ,Petrópolis,pub,B,36.3,34.3,-5.5,24.3,1352.0,5,FRZ|KVI|MES,33,23,47,1,0
PDV-03472,Nordeste,PE,Caruaru,gastrobar,C,6.7,7.5,11.9,6.0,592.0,3,CHP,60,57,47,0,0
PDV-00577,Sudeste,SP,São José dos Campos,pub,C,20.7,12.4,-40.1,16.9,726.0,5,BAL|FRZ,68,43,16,4,0
PDV-03329,Centro-Oeste,DF,Brasília,bar premium,A,184.7,172.1,-6.8,41.7,2570.0,8,BAL|CHP|KVI|LUM|MES,80,84,47,0,0
PDV-03259,Centro-Oeste,MT,Cuiabá,gastrobar,C,13.2,6.4,-51.5,9.4,790.0,4,CHP|FRZ,64,51,29,3,0
PDV-01745,Sudeste,SP,Santos,bar premium,A,191.6,141.0,-26.4,42.8,2538.0,5,BAL|CHP|FRZ|KVI|LUM|MES,43,31,47,2,0
PDV-03466,Nordeste,BA,Feira de Santana,bar premium,A,40.1,24.4,-39.2,34.3,2232.0,4,BAL|FRZ|KVI|LUM|MES,75,49,47,5,0
PDV-02213,Sul,SC,Florianópolis,restaurante,A,66.3,30.2,-54.4,39.1,3054.0,4,BAL|CHP|FRZ|LUM|MES,97,88,47,5,0
PDV-02912,Centro-Oeste,GO,Goiânia,bar premium,B,35.1,29.5,-16.0,23.4,1303.0,3,BAL|FRZ,44,30,19,2,0
PDV-00477,Sudeste,SP,Campinas,choperia,A,68.8,65.7,-4.5,28.0,2188.0,7,BAL|CHP|FRZ|KVI|LUM|MES,66,58,47,0,0
PDV-01991,Sudeste,SP,Santos,gastrobar,A,327.4,302.3,-7.7,38.2,2279.0,6,BAL|CHP|FRZ|KVI|LUM|MES,73,70,47,1,1
PDV-02221,Sul,PR,Londrina,gastrobar,B,64.9,65.8,1.4,27.5,1162.0,3,FRZ|KVI,64,56,47,1,1
PDV-03452,Nordeste,PE,Caruaru,bar premium,C,10.2,11.1,8.8,17.4,742.0,2,BAL|CHP|MES,68,57,47,0,1
PDV-00416,Sudeste,MG,Belo Horizonte,bar premium,B,39.9,38.0,-4.8,20.1,1327.0,5,BAL|LUM|MES,66,44,47,2,0
PDV-03316,Centro-Oeste,GO,Anápolis,bar premium,B,17.1,15.8,-7.6,15.0,1202.0,3,BAL|MES,65,56,47,0,0
PDV-01387,Sudeste,SP,Ribeirão Preto,restaurante,B,30.9,25.9,-16.2,34.9,1403.0,4,FRZ|KVI|LUM|MES,65,69,18,0,0
PDV-03553,Nordeste,BA,Feira de Santana,restaurante,B,16.2,18.6,14.8,25.1,1164.0,4,BAL|CHP|FRZ|MES,51,53,47,0,0
PDV-02011,Sul,RS,Pelotas,gastrobar,C,10.4,9.4,-9.6,3.0,588.0,2,CHP|FRZ|KVI,66,45,47,0,0
PDV-02686,Sul,PR,Londrina,rooftop,A,40.0,33.6,-16.0,39.4,2680.0,6,BAL|CHP|FRZ|KVI|LUM|MES,60,46,47,2,1
PDV-02105,Sul,RS,Porto Alegre,gastrobar,B,62.4,60.3,-3.4,26.3,1195.0,5,CHP|FRZ|KVI|LUM,77,80,47,1,0
PDV-00620,Sudeste,MG,Uberlândia,bar premium,B,19.8,15.5,-21.7,14.3,1534.0,2,BAL|MES,76,54,47,2,0
PDV-03219,Centro-Oeste,DF,Brasília,gastrobar,B,41.5,39.9,-3.9,24.5,1171.0,4,FRZ|LUM,67,55,39,1,0
PDV-03129,Centro-Oeste,GO,Anápolis,gastrobar,A,111.1,67.5,-39.2,35.3,2409.0,6,BAL|CHP|FRZ|KVI|LUM|MES,70,52,47,4,1
PDV-02495,Sul,SC,Florianópolis,bar premium,C,6.3,6.9,9.5,14.3,730.0,3,BAL,62,64,47,1,0
PDV-00623,Sudeste,RJ,Niterói,pub,C,14.3,9.5,-33.6,15.4,715.0,3,CHP|MES,46,27,35,3,0
PDV-00530,Sudeste,MG,Belo Horizonte,gastrobar,B,30.9,26.7,-13.6,24.3,1425.0,4,FRZ|LUM|MES,52,42,47,1,0
PDV-03132,Centro-Oeste,GO,Goiânia,bar premium,B,32.6,19.4,-40.5,13.5,1038.0,4,FRZ|KVI|LUM|MES,69,49,47,3,1
PDV-02393,Sul,RS,Pelotas,pub,B,17.0,16.9,-0.6,22.3,1285.0,5,BAL|CHP|LUM,76,74,47,0,0
PDV-00822,Sudeste,RJ,Petrópolis,pub,C,11.8,9.2,-22.0,8.6,772.0,3,CHP|LUM,80,65,47,2,0
PDV-01496,Sudeste,SP,São Paulo,bar premium,C,9.4,8.8,-6.4,10.9,777.0,3,FRZ|LUM,64,67,47,1,1
PDV-01480,Sudeste,SP,Campinas,bar premium,C,8.1,7.5,-7.4,25.5,656.0,4,BAL|KVI|MES,37,23,20,0,0
PDV-00507,Sudeste,MG,Belo Horizonte,pub,B,19.7,18.9,-4.1,24.9,1129.0,3,BAL|CHP|FRZ|KVI,60,44,47,0,1
PDV-00741,Sudeste,RJ,Petrópolis,gastrobar,B,39.3,40.9,4.1,16.5,1161.0,5,FRZ|LUM,59,58,47,0,1
PDV-02230,Sul,PR,Londrina,bar premium,C,7.3,6.2,-15.1,16.1,579.0,2,LUM,62,43,37,2,0
PDV-03806,Nordeste,CE,Juazeiro do Norte,bar premium,B,23.4,28.2,20.5,19.0,1161.0,6,BAL|FRZ|KVI|MES,52,39,34,1,0
PDV-03578,Nordeste,BA,Salvador,pub,C,8.8,10.5,19.3,20.0,669.0,2,LUM,47,35,47,0,1
PDV-00420,Sudeste,RJ,Rio de Janeiro,pub,C,21.9,13.6,-37.9,9.8,623.0,4,BAL|FRZ,70,58,47,3,0
PDV-00905,Sudeste,SP,Santos,restaurante,C,11.8,7.5,-36.4,9.5,775.0,4,BAL|CHP|KVI,61,46,47,4,0
PDV-01588,Sudeste,RJ,Niterói,choperia,B,49.9,47.1,-5.6,15.1,1131.0,5,FRZ|LUM,48,47,47,1,1
PDV-02024,Sul,PR,Londrina,pub,C,10.9,9.6,-11.9,11.7,797.0,3,BAL,53,37,11,1,0
PDV-02394,Sul,RS,Caxias do Sul,rooftop,C,6.7,7.0,4.5,9.0,691.0,3,BAL|FRZ|LUM,81,72,47,0,0
PDV-01875,Sudeste,RJ,Niterói,restaurante,B,27.1,26.3,-3.0,26.2,1493.0,3,LUM|MES,61,51,47,0,0
PDV-00034,Sudeste,RJ,Niterói,gastrobar,B,30.5,24.4,-20.0,17.3,1078.0,4,CHP|FRZ|KVI|MES,51,35,47,2,1
PDV-00584,Sudeste,SP,Santos,gastrobar,C,16.8,16.4,-2.4,11.9,626.0,3,CHP|FRZ,62,43,47,0,0
PDV-01153,Sudeste,SP,São José dos Campos,bar premium,A,59.5,50.3,-15.5,25.7,2305.0,6,BAL|FRZ|KVI|MES,63,62,47,2,0
PDV-01288,Sudeste,RJ,Niterói,gastrobar,A,63.4,34.0,-46.4,33.7,2672.0,5,BAL|CHP|FRZ|KVI,80,58,47,4,0
PDV-02560,Sul,RS,Pelotas,bar premium,C,14.3,12.8,-10.5,12.8,723.0,4,KVI|LUM|MES,80,70,47,1,0
PDV-01285,Sudeste,MG,Juiz de Fora,bar premium,B,30.5,29.8,-2.3,20.4,1317.0,4,BAL|CHP|KVI|LUM,50,49,47,0,0
PDV-03083,Centro-Oeste,DF,Brasília,pub,A,79.7,70.9,-11.0,22.0,2630.0,6,CHP|KVI|LUM|MES,61,55,47,0,0
PDV-00547,Sudeste,SP,Santos,bar premium,C,25.6,22.5,-12.1,15.7,851.0,4,CHP,68,67,47,2,1
PDV-00597,Sudeste,SP,São José dos Campos,choperia,B,64.4,36.0,-44.1,26.8,1317.0,2,BAL|CHP|MES,72,62,47,3,0
PDV-01391,Sudeste,MG,Uberlândia,pub,C,41.0,21.9,-46.6,16.0,645.0,7,FRZ,69,48,47,5,0
PDV-00541,Sudeste,SP,Ribeirão Preto,bar premium,C,8.8,5.9,-33.0,17.3,870.0,4,CHP|LUM|MES,64,51,23,3,0
PDV-02844,Sul,RS,Caxias do Sul,bar premium,A,193.8,194.9,0.6,29.4,2058.0,7,BAL|CHP|FRZ|KVI|LUM|MES,37,24,47,0,1
PDV-03461,Nordeste,CE,Fortaleza,bar premium,C,10.4,11.7,12.5,11.9,745.0,2,BAL,75,75,47,0,0
PDV-02676,Sul,SC,Florianópolis,restaurante,C,7.1,6.6,-7.0,4.8,734.0,1,BAL|MES,68,69,17,2,0
PDV-03693,Nordeste,BA,Salvador,gastrobar,A,63.0,73.2,16.2,24.6,2431.0,8,BAL|CHP|FRZ|LUM|MES,63,62,31,0,1
PDV-03089,Centro-Oeste,MT,Cuiabá,restaurante,B,37.8,18.0,-52.4,35.3,1294.0,4,BAL|FRZ|KVI,79,58,47,5,1
PDV-01118,Sudeste,RJ,Niterói,restaurante,A,158.2,141.1,-10.8,24.7,2293.0,5,FRZ|KVI|LUM|MES,62,62,47,0,0
PDV-00647,Sudeste,SP,São José dos Campos,restaurante,C,7.9,5.6,-29.1,23.0,652.0,3,BAL|CHP|MES,58,51,47,3,0
PDV-00709,Sudeste,MG,Belo Horizonte,bar premium,B,82.1,69.6,-15.2,22.2,1244.0,4,BAL|CHP|LUM|MES,52,36,47,1,0
PDV-01659,Sudeste,MG,Belo Horizonte,gastrobar,C,13.3,12.3,-7.5,14.4,683.0,5,BAL|CHP|MES,78,77,19,0,1
PDV-00645,Sudeste,SP,Ribeirão Preto,restaurante,C,11.8,6.8,-42.4,20.5,701.0,3,LUM,48,32,47,4,0
PDV-02804,Sul,SC,Florianópolis,bar premium,B,13.0,12.9,-0.8,18.1,1175.0,4,BAL|CHP,49,42,29,1,0
PDV-02856,Centro-Oeste,MS,Campo Grande,pub,C,21.3,18.2,-14.6,6.0,638.0,4,BAL|FRZ|KVI,44,34,47,0,1
PDV-02718,Sul,RS,Caxias do Sul,pub,C,5.6,6.0,7.1,5.6,788.0,1,CHP|KVI|LUM,52,44,47,0,0
PDV-00606,Sudeste,SP,Ribeirão Preto,restaurante,C,19.3,15.5,-19.7,9.6,649.0,4,CHP|FRZ|LUM,75,63,47,2,0
PDV-03481,Nordeste,CE,Fortaleza,bar premium,A,89.0,82.9,-6.9,19.4,2130.0,6,BAL|CHP|FRZ|MES,81,79,47,0,1
PDV-03540,Nordeste,BA,Feira de Santana,choperia,C,18.0,18.7,3.9,9.3,560.0,2,KVI,53,46,47,1,0
PDV-02690,Sul,PR,Maringá,restaurante,A,76.2,76.2,0.0,27.3,2124.0,8,BAL|CHP|FRZ|KVI|LUM|MES,61,46,27,0,0
PDV-03208,Centro-Oeste,GO,Goiânia,gastrobar,B,33.9,24.2,-28.6,20.0,1258.0,2,BAL|CHP|KVI|MES,78,70,47,3,0
PDV-00061,Sudeste,RJ,Rio de Janeiro,gastrobar,C,14.2,9.4,-33.8,13.9,707.0,3,BAL|LUM,56,32,15,3,1
PDV-02311,Sul,PR,Curitiba,restaurante,C,6.3,6.5,3.2,7.2,627.0,4,BAL|CHP|LUM,79,77,47,0,0
PDV-00482,Sudeste,SP,Campinas,gastrobar,B,63.3,60.6,-4.3,17.6,1222.0,5,BAL|MES,64,54,47,0,0
PDV-00395,Sudeste,SP,Campinas,bar premium,A,112.2,97.4,-13.2,25.9,2519.0,6,BAL|CHP|FRZ|KVI|LUM|MES,51,36,47,1,0
PDV-01985,Sudeste,SP,Santos,bar premium,A,80.3,32.0,-60.1,21.8,2686.0,5,BAL|FRZ|KVI|MES,52,44,47,5,1
PDV-02445,Sul,SC,Joinville,restaurante,B,49.7,42.0,-15.5,14.8,1073.0,4,CHP|FRZ|KVI|MES,63,54,47,2,0
PDV-00964,Sudeste,SP,Campinas,gastrobar,B,40.9,38.4,-6.1,26.8,1136.0,4,FRZ|KVI|MES,67,56,10,1,0
PDV-03684,Nordeste,RN,Natal,bar premium,B,25.6,27.7,8.2,16.9,1202.0,4,FRZ|MES,81,68,47,0,0
PDV-02596,Sul,SC,Florianópolis,gastrobar,A,61.1,62.9,2.9,25.4,2069.0,5,BAL|CHP|FRZ|KVI|LUM|MES,55,45,14,0,0
PDV-00069,Sudeste,SP,Ribeirão Preto,bar premium,C,23.2,18.8,-19.0,17.7,688.0,4,BAL|FRZ|LUM,63,50,47,2,0
PDV-02601,Sul,RS,Pelotas,choperia,A,159.1,176.0,10.6,32.6,2130.0,7,BAL|FRZ|LUM,61,54,47,1,1
PDV-02175,Sul,PR,Londrina,bar premium,B,32.5,28.2,-13.2,28.0,1601.0,4,FRZ|LUM,66,50,47,2,0
PDV-01304,Sudeste,SP,Campinas,bar premium,B,21.9,21.0,-4.1,17.6,1276.0,5,CHP|FRZ|LUM|MES,55,54,47,1,1
PDV-01395,Sudeste,RJ,Petrópolis,bar premium,B,45.2,38.2,-15.5,16.3,1497.0,5,BAL|CHP|FRZ,55,52,47,1,0
PDV-02545,Sul,PR,Londrina,bar premium,C,5.1,4.9,-3.9,18.2,716.0,1,KVI,60,49,47,0,0
PDV-02675,Sul,SC,Florianópolis,restaurante,C,19.9,13.2,-33.7,16.0,642.0,4,BAL|CHP,67,57,47,4,0
PDV-03024,Centro-Oeste,DF,Brasília,choperia,B,43.4,21.7,-50.0,14.0,1417.0,4,CHP|KVI|LUM|MES,66,45,47,5,0
PDV-00421,Sudeste,MG,Belo Horizonte,gastrobar,C,10.8,8.8,-18.5,27.0,567.0,4,BAL|MES,72,60,47,2,0
PDV-02606,Sul,PR,Maringá,bar premium,A,56.9,52.5,-7.7,21.5,1879.0,6,BAL|CHP|LUM,44,39,47,2,1
PDV-01501,Sudeste,ES,Vitória,choperia,C,10.9,9.1,-16.5,20.3,660.0,4,BAL|CHP|FRZ,54,36,6,3,0
PDV-01648,Sudeste,MG,Belo Horizonte,choperia,A,41.0,18.3,-55.4,29.0,2934.0,6,BAL|CHP|LUM|MES,67,54,47,5,0
PDV-00427,Sudeste,RJ,Niterói,restaurante,A,79.6,72.8,-8.5,30.0,2757.0,8,BAL|KVI|MES,67,50,47,0,0
PDV-00641,Sudeste,RJ,Rio de Janeiro,restaurante,C,19.2,17.3,-9.9,24.4,767.0,3,CHP|FRZ|MES,48,42,47,1,0
PDV-00816,Sudeste,RJ,Niterói,pub,B,31.4,20.8,-33.8,20.7,1287.0,4,BAL|FRZ,56,48,11,4,0
PDV-02259,Sul,RS,Caxias do Sul,gastrobar,B,20.1,21.0,4.5,21.1,1239.0,4,FRZ|KVI|LUM|MES,46,34,47,1,1
PDV-02048,Sul,RS,Pelotas,rooftop,B,22.3,22.4,0.4,20.0,1570.0,5,BAL|KVI,76,68,47,1,1
PDV-01809,Sudeste,MG,Belo Horizonte,bar premium,A,46.8,26.2,-44.0,38.6,2963.0,6,BAL|CHP|KVI|MES,60,37,47,4,1
